Loja,Categoria,Sub Categoria,Distância,Nota,Contagem de Votos,Ifood Delivery,Novo,Super Restaurante,Rastreamento,Pedido Mínimo,CNPJ,Cidade,Telefone,CEP,Bairro,Rua,Número,Latitude,Longitude,Segunda-feira,Terça-feira,Quarta-feira,Quinta-feira,Sexta-feira,Sábado,Domingo
Clean Foods Volta Redonda,RESTAURANT,Marmita,3.45,0,0,false,true,false,false,65, 41.610.461/0001-63,VOLTA REDONDA,998770193,27213320,Aterrado,Rua Vereador Luis Da Fonseca Guimarães,107,-22.509344,-44.092912,11:00:00 - 15:00:00,09:00:00 - 18:00:00,09:00:00 - 18:00:00,09:00:00 - 18:00:00,09:00:00 - 18:00:00,,
Fat Burguer,RESTAURANT,Lanches,1.43,0,0,false,true,false,false,15, 41.589.597/0001-39,VOLTA REDONDA,981129366,27276220,Açude,Rua Nove,143,-22.491035,-44.135325,,,,,,,
Delicias Gourmet Doceria Artesanal,RESTAURANT,Doces & Bolos,0.73,0,0,false,true,false,false,15, 38.058.969/0001-96,VOLTA REDONDA,999781285,27275040,Retiro,Avenida Antônio De Almeida,625,-22.500696,-44.117714,15:00:00 - 21:00:00,15:00:00 - 21:00:00,15:00:00 - 21:00:00,15:00:00 - 21:00:00,15:00:00 - 21:00:00,,
Hamburgo Grill,RESTAURANT,Lanches,4.27,0,0,false,true,false,false,20, 40.286.857/0001-34,VOLTA REDONDA,40032665,27253510,São Geraldo,Rua Capitão Benedito Lópes Bragança,158,-22.513261,-44.085961,,19:00:00 - 23:30:00,19:00:00 - 23:30:00,19:00:00 - 23:30:00,19:00:00 - 23:30:00,,
Silva´s Burger,RESTAURANT,Lanches,2.95,4.3,3,true,true,false,true,20, 24.477.524/0001-36,VOLTA REDONDA,999352508,27275600,Vila Mury,Avenida Almirante Adalberto De Barros Nunes,5431,-22.523896,-44.13536,,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00
Quentinhas Das Manas,RESTAURANT,Marmita,3.1,0,0,false,true,false,false,20, 38.021.073/0001-32,VOLTA REDONDA,999444124,27263671,Eucaliptal,Vereador Francisco Evangelista Delgado,488,-22.526097,-44.115932,11:00:00 - 14:30:00,10:45:00 - 14:30:00,11:00:00 - 14:30:00,10:45:00 - 14:30:00,10:45:00 - 15:00:00,,
Tá Nupote,RESTAURANT,Doces & Bolos,6.59,0,0,true,true,false,true,10, 39.525.303/0001-63,VOLTA REDONDA,40032665,27257290,Casa De Pedra,Rua Setecentos E Cinqüenta E Quatro,252,-22.539574,-44.077513,10:30:00 - 21:00:00,10:30:00 - 21:00:00,10:30:00 - 21:00:00,10:30:00 - 21:00:00,10:30:00 - 21:00:00,10:30:00 - 21:00:00,10:30:00 - 21:00:00
Sabor De Minas Ltda,RESTAURANT,Comida Brasileira,5.06,0,0,false,true,false,false,0, 41.288.990/0001-92,BARRA MANSA,998715353,27335270,9 De Abril,Rua Lacyr Schettino,140,-22.544059,-44.114713,,08:30:00 - 16:45:00,08:30:00 - 16:45:00,08:30:00 - 16:45:00,08:30:00 - 16:45:00,08:30:00 - 13:45:00,
Bruta Fome Delivery,RESTAURANT,Comida Brasileira,3.37,0,0,false,true,false,false,12, 41.691.818/0001-85,VOLTA REDONDA,998270063,27264130,São Lucas,Rua São Jorge,106,-22.529473,-44.120455,,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,
Quentinha/caldo 10,RESTAURANT,Comida Brasileira,3.43,0,0,false,true,false,false,10, 29.085.611/0001-61,VOLTA REDONDA,969397942,27264140,São Lucas,Avenida São Lucas,768,-22.530224,-44.123121,,,,,,09:00:00 - 09:30:00,09:00:00 - 13:00:00
Batatas Recheadas Mr Potato,RESTAURANT,Comida Brasileira,1.29,0,0,false,true,false,false,15, 41.786.189/0001-77,VOLTA REDONDA,33506032,27276290,Açude,Cinco,76,-22.49463,-44.136103,,,,,,,
Kaka Noronha Confeitaria,RESTAURANT,Doces & Bolos,4.08,0,0,true,true,false,true,10, 40.969.286/0001-32,VOLTA REDONDA,40032665,27285510,Barreira Cravo,Rua Oito,83,-22.494701,-44.085291,18:00:00 - 22:00:00,11:30:00 - 22:00:00,11:45:00 - 22:00:00,13:45:00 - 23:00:00,11:45:00 - 19:00:00,18:00:00 - 23:45:00,17:45:00 - 23:00:00
Grano Massas,RESTAURANT,Pizza,1.86,0,0,true,true,false,true,20, 41.339.103/0001-68,VOLTA REDONDA,40032665,27240571,Parque Do Contorno,Rua A,96,-22.514553,-44.132046,,19:00:00 - 22:00:00,19:00:00 - 21:00:00,19:00:00 - 22:00:00,18:30:00 - 22:00:00,19:00:00 - 22:00:00,19:00:00 - 22:00:00
Espeto Brasa,RESTAURANT,Marmita,7.92,0,0,true,true,false,true,10, 41.635.146/0001-90,VOLTA REDONDA,40032665,27240320,Vila Rica,Rua Vinte E Nove,559,-22.545402,-44.065748,,11:00:00 - 16:00:00,11:00:00 - 16:00:00,18:00:00 - 23:00:00,11:00:00 - 16:00:00,11:00:00 - 16:00:00,
Lanchetto - Shopping Park Sul,RESTAURANT,Lanches,5.43,0,0,true,true,false,true,20, 30.914.927/0001-06,VOLTA REDONDA,1,27253005,São Geraldo,Rodovia Dos Metalúrgicos,1189,-22.522158,-44.077968,11:00:00 - 21:30:00,11:00:00 - 21:30:00,11:00:00 - 21:30:00,11:00:00 - 21:30:00,11:00:00 - 21:30:00,11:00:00 - 21:30:00,11:00:00 - 21:30:00
Gourmet Da Rah,RESTAURANT,Doces & Bolos,3.49,0,0,true,true,false,true,10, 33.063.674/0001-94,VOLTA REDONDA,40032665,27253420,Centro,Rua Hipólito Da Costa,19,-22.512545,-44.093886,,,,,12:00:00 - 20:00:00,,
Sintonia Burgues,RESTAURANT,Lanches,4.7,0,0,false,true,false,false,15, 41.937.778/0001-09,VOLTA REDONDA,988049357,27286620,Pinto Da Serra,Travessa Josefa De Assis,51,-22.482202,-44.082734,18:00:00 - 23:00:00,18:00:00 - 23:00:00,,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:30:00 - 23:15:00
Brasas Grill,RESTAURANT,Comida Brasileira,1.84,0,0,false,true,false,false,21, 39.343.648/0001-04,VOLTA REDONDA,33420738,27281630,Vila Mury,Avenida Das Magnólias,164,-22.501871,-44.10692,11:00:00 - 14:30:00,11:00:00 - 14:30:00,11:00:00 - 14:30:00,11:00:00 - 14:30:00,11:00:00 - 14:30:00,11:00:00 - 14:30:00,11:00:00 - 14:30:00
E Pa Cume,RESTAURANT,Lanches,3.02,0,0,true,true,false,true,20, 41.958.835/0001-36,VOLTA REDONDA,40032665,27264040,Eucaliptal,Rua Carmem Miranda,45,-22.526455,-44.123226,,14:00:00 - 23:59:00,14:00:00 - 23:59:00,14:00:00 - 23:59:00,14:00:00 - 23:59:00,14:00:00 - 23:59:00,18:30:00 - 23:59:00
Rex Dogueria,RESTAURANT,Lanches,3.77,0,0,false,true,false,false,15, 34.911.989/0001-07,VOLTA REDONDA,998763824,27253290,São João,Praça Vereador Nei Alves Do Vale,93,-22.5155,-44.092392,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00
Rota Bier,RESTAURANT,Comida Variada,1.45,0,0,false,true,false,false,15, 41.883.259/0001-05,VOLTA REDONDA,993024554,27275250,Retiro,Avenida Comércio,122,-22.502171,-44.110869,,18:00:00 - 22:30:00,18:00:00 - 22:30:00,18:00:00 - 22:30:00,18:00:00 - 22:30:00,18:00:00 - 22:30:00,
Gostosuras Dai,RESTAURANT,Comida Brasileira,1.94,0,0,true,true,false,true,20, 41.870.558/0001-05,VOLTA REDONDA,981800188,27280802,Vila Brasília,Rua D,150,-22.491201,-44.107891,14:00:00 - 21:00:00,18:00:00 - 23:00:00,10:00:00 - 23:59:00,09:30:00 - 17:00:00,09:30:00 - 23:59:00,11:00:00 - 15:00:00,09:30:00 - 18:00:00
Venzzo Pizzaria,RESTAURANT,Comida Brasileira,5.26,0,0,false,true,false,false,15, 12.118.756/0001-19,VOLTA REDONDA,992213763,27210070,Santo Agostinho,Rua Jaime Martins,735,-22.489653,-44.074523,19:00:00 - 23:00:00,10:45:00 - 11:00:00,,19:00:00 - 23:00:00,19:00:00 - 23:00:00,18:45:00 - 23:59:00,18:45:00 - 23:30:00
Los Buenos Beef's,RESTAURANT,Lanches,4.16,5,1,false,true,false,false,25, 42.021.952/0001-31,VOLTA REDONDA,999942865,27255560,Monte Castelo,Rua Trezentos E Trinta E Quatro,20,-22.521743,-44.092164,10:00:00 - 23:59:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,10:00:00 - 23:59:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00
Benjisushi,RESTAURANT,Comida Japonesa,3.16,0,0,false,true,false,false,20, 41.300.338/0001-46,VOLTA REDONDA,998177721,27251330,Eucaliptal,Rua Pery,134,-22.527211,-44.118287,17:00:00 - 23:00:00,17:00:00 - 23:00:00,17:00:00 - 23:15:00,,17:00:00 - 23:15:00,17:00:00 - 23:15:00,
Casa De Carnes Lacerda,RESTAURANT,Carnes,2.87,0,0,true,true,false,true,20, 29.242.015/0001-48,VOLTA REDONDA,Sem Número,27263211,Eucaliptal,Rua Vereador Raimundo Diogo,363,-22.524942,-44.12099,,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 13:00:00
Daglio Sandubas,RESTAURANT,Lanches,2.63,0,0,false,true,false,false,18, 40.800.632/0001-54,VOLTA REDONDA,999435059,27265435,Conforto,Rua Dois,291,-22.52303,-44.124199,,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,
Tempero Do Paulistão,RESTAURANT,Comida Brasileira,1.12,0,0,false,true,false,false,13, 18.899.416/0001-59,VOLTA REDONDA,998247392,27274060,Retiro,Avenida Paulista,413,-22.509096,-44.127257,11:00:00 - 14:00:00,11:00:00 - 14:00:00,11:00:00 - 14:00:00,11:00:00 - 14:00:00,11:00:00 - 14:00:00,,
Sonho Meu Biscoitinhos,RESTAURANT,Doces & Bolos,3.25,0,0,true,true,false,true,10, 39.712.671/0001-10,VOLTA REDONDA,40032665,27255430,Vila Santa Cecília,Avenida Lions Club,591,-22.519735,-44.10203,,11:00:00 - 19:30:00,,,11:00:00 - 19:30:00,,
Snack Bar E Petisqueira,RESTAURANT,Comida Brasileira,4.32,0,0,true,true,false,true,20, 42.091.578/0001-40,VOLTA REDONDA,40032665,27251390,Jardim Normandia,Rua Santo Mucianini,153,-22.512798,-44.085246,18:00:00 - 23:59:00,18:00:00 - 23:59:00,18:00:00 - 23:59:00,18:00:00 - 23:59:00,18:00:00 - 23:59:00,18:00:00 - 23:59:00,18:00:00 - 23:59:00
