Loja,Categoria,Sub Categoria,Distância,Nota,Contagem de Votos,Ifood Delivery,Novo,Super Restaurante,Rastreamento,Pedido Mínimo,CNPJ,Cidade,Telefone,CEP,Bairro,Rua,Número,Latitude,Longitude,Segunda-feira,Terça-feira,Quarta-feira,Quinta-feira,Sexta-feira,Sábado,Domingo
Mcdonald's - Vila Sta. Cecília (Vre),RESTAURANT,Lanches,2.66,4.4,884,true,false,false,true,15, 02.922.293/0002-70,VOLTA REDONDA,40030053,27260015,Vila Santa Cecilia,Rua 14,500,-22.517952,-44.108398,10:00:00 - 23:59:00,10:00:00 - 23:59:00,10:00:00 - 23:59:00,10:00:00 - 23:59:00,10:00:00 - 23:59:00,09:00:00 - 23:59:00,09:00:00 - 23:59:00
Corisco Rei Da Costela,RESTAURANT,Comida Brasileira,3.83,4.4,388,false,false,false,false,1, 27.240.188/0001-00,VOLTA REDONDA,33488156,27253320,Sao Joao,Rua Monteiro Lobato,45,-22.517123,-44.092668,08:30:00 - 15:00:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00,08:30:00 - 15:00:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00
Sabor Na Panela E Grill,RESTAURANT,Comida Brasileira,4.02,4.5,379,false,false,false,false,20, 35.282.551/0001-70,VOLTA REDONDA,30264151,27253110,São João,Rua Marcílio Dias,248,-22.518412,-44.091409,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00
Sabor Na Marmita,RESTAURANT,Comida Brasileira,4.02,4.6,250,false,false,false,false,18, 35.282.551/0001-70,VOLTA REDONDA,998522000,27253110,São João,Rua Marcílio Dias,250,-22.5185,-44.091421,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00
Brasileirinho Delivery - Volta Redonda,RESTAURANT,Comida Brasileira,3.23,4.6,146,false,false,false,false,27, 35.965.315/0001-58,VOLTA REDONDA,33388499,27215630,Aterrado,Rua Lucas Evangelista De Oliveira Franco,660,-22.504992,-44.093821,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00
Sabor Do Chefe E Cia,RESTAURANT,Comida Brasileira,4.02,4.4,115,false,false,false,false,18, 35.282.551/0001-70,VOLTA REDONDA,999246048,27253110,São João,Rua Marcílio Dias,250,-22.518471,-44.09146,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00
La Brasa Burger - Volta Redonda,RESTAURANT,Lanches,4.66,4.8,134,false,false,true,false,23, 43.885.109/0001-66,VOLTA REDONDA,993275428,27251410,Jardim Amália,Rua Senador Pinheiro Machado,139,-22.510577,-44.080961,,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:15:00,17:30:00 - 23:15:00,17:30:00 - 23:00:00
Bacião Pizzaria,RESTAURANT,Pizza,3.97,4.8,26,false,false,false,false,15, 12.530.114/0001-22,VOLTA REDONDA,33422761,27256050,Sessenta,Rua Cinquenta E Um,22,-22.524607,-44.097258,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,17:45:00 - 23:30:00
O Fornês - Pizzaria Volta Redonda,RESTAURANT,Pizza,3.46,4.7,34,false,false,false,false,40, 45.960.215/0001-92,VOLTA REDONDA,993071184,27213200,Aterrado,Av. Dezessete De Julho,82,-22.507226,-44.092115,16:00:00 - 23:59:00,16:00:00 - 23:59:00,17:15:00 - 23:59:00,16:00:00 - 23:59:00,16:00:00 - 23:59:00,16:00:00 - 23:59:00,16:00:00 - 23:59:00
Vieira Beer,RESTAURANT,Bebidas,3.71,0,0,false,true,false,false,10, 46.583.714/0001-70,VOLTA REDONDA,999422414,27278440,Nova Esperança,Rua Nossa Senhora De Fátima,16,-22.500364,-44.088593,00:00:00 - 02:00:00,02:30:00 - 23:59:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00
Bob's - Drive Avenida Getúlio Vargas,RESTAURANT,Lanches,4.16,4.4,418,false,false,false,false,20, 11.224.444/0001-27,VOLTA REDONDA,21021479,27253410,Centro,Avenida Getulio Vargas,9,-22.511489,-44.086348,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00
Sider Lanches Lanchonete,RESTAURANT,Lanches,2.82,4.8,111,false,false,false,false,10, 26.684.544/0001-03,VOLTA REDONDA,33370297,27273510,Siderlândia,Rua Cabo Frio,140,-22.520702,-44.139387,00:00:00 - 01:00:00,00:00:00 - 01:00:00,00:00:00 - 01:00:00,00:00:00 - 01:00:00,00:00:00 - 01:00:00,00:00:00 - 01:00:00,00:00:00 - 01:00:00
Hikari Sushi Bar,RESTAURANT,Comida Japonesa,2.48,4.7,185,false,false,true,false,20, 22.015.178/0001-49,VOLTA REDONDA,33489841,27265200,Eucaliptal,R Dois,51,-22.518246,-44.111774,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00
Bacião Burguer's,RESTAURANT,Lanches,3.75,4.4,225,false,false,false,false,20, 12.530.114/0001-22,VOLTA REDONDA,33422761,27261130,Sessenta,Praça Pandiá Calógeras,10,-22.525152,-44.101045,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,17:45:00 - 23:30:00
Guedes Burger,RESTAURANT,Lanches,3.87,4.9,229,false,false,true,false,13, 35.910.980/0001-44,VOLTA REDONDA,992206932,27215430,Aterrado,Rua Desembargador Cesar Salamonde,393,-22.506338,-44.087748,00:00:00 - 02:30:00,00:00:00 - 02:30:00,00:00:00 - 02:00:00,19:00:00 - 23:59:00,00:00:00 - 02:30:00,00:00:00 - 02:30:00,00:00:00 - 02:30:00
Texas Lanches,RESTAURANT,Lanches,3.7,4.5,137,false,false,false,false,0, 39.757.052/0001-42,VOLTA REDONDA,33464685,27213160,Aterrado,Sete De Setembro,330,-22.504173,-44.089049,00:00:00 - 03:45:00,00:00:00 - 01:45:00,00:00:00 - 01:45:00,00:00:00 - 02:45:00,00:00:00 - 01:45:00,00:00:00 - 04:45:00,00:00:00 - 04:45:00
Lessa's Tapioca Gourmet,RESTAURANT,Lanches,1.99,4.8,162,false,false,false,false,16, 33.280.855/0001-72,VOLTA REDONDA,999529552,27281060,Vila Mury,Av Amazonas,480,-22.498584,-44.10522,16:00:00 - 23:00:00,16:00:00 - 22:15:00,16:00:00 - 23:00:00,16:00:00 - 23:00:00,16:00:00 - 23:00:00,17:00:00 - 23:00:00,
Nashville Prime Burger,RESTAURANT,Lanches,1.36,4.8,115,false,false,false,false,19, 27.894.531/0001-21,VOLTA REDONDA,30260504,27275250,Retiro,Avenida Comércio,134,-22.501161,-44.111498,,18:00:00 - 22:45:00,18:00:00 - 22:45:00,18:00:00 - 22:45:00,18:00:00 - 22:45:00,18:00:00 - 22:45:00,18:00:00 - 22:45:00
Sabor & Aroma,RESTAURANT,Comida Brasileira,4.9,4.7,145,false,false,false,false,18, 02.404.806/0001-70,VOLTA REDONDA,33484075,27251025,Jardim Amalia,Cristóvão Colombo,129,-22.507842,-44.077905,10:30:00 - 14:45:00,10:30:00 - 14:45:00,10:30:00 - 14:45:00,10:30:00 - 14:45:00,10:30:00 - 14:45:00,10:30:00 - 15:00:00,18:15:00 - 23:15:00
Number One Chicken,RESTAURANT,Lanches,3.77,4.8,343,false,false,true,false,25, 39.826.028/0001-18,VOLTA REDONDA,999857487,27253230,Sao Joao,R Antonio Ourique,41,-22.51386,-44.091466,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00
Pizzaria La Thereza,RESTAURANT,Pizza,4.61,4.6,145,false,false,false,false,0, 41.152.804/0001-93,BARRA MANSA,33439270,27335290,São Sebastiao,Rua Nilton Mariano De Lima,311,-22.540252,-44.116823,,17:45:00 - 23:15:00,17:45:00 - 23:15:00,17:30:00 - 23:15:00,17:45:00 - 23:15:00,17:45:00 - 23:15:00,17:45:00 - 23:15:00
Sabores Do Chef (Ponte Alta),RESTAURANT,Pizza,3.26,4.7,125,false,false,false,false,25, 36.773.189/0002-83,VOLTA REDONDA,30279223,27265601,Ponte Alta,Via Sérgio Braga,481,-22.527466,-44.133719,17:30:00 - 22:45:00,17:30:00 - 22:45:00,17:30:00 - 22:45:00,17:30:00 - 22:45:00,17:30:00 - 22:45:00,17:30:00 - 22:45:00,17:30:00 - 22:45:00
Xapanã Lanches,RESTAURANT,Lanches,2.14,4.7,160,false,false,false,false,0, 25.242.992/0001-94,VOLTA REDONDA,33475263,27281670,Vila Mury,Av Pastor Cesar Dacorso Filho,496,-22.498291,-44.103793,00:00:00 - 01:00:00,00:00:00 - 01:00:00,00:00:00 - 01:00:00,00:00:00 - 01:00:00,18:30:00 - 23:59:00,00:00:00 - 01:00:00,00:00:00 - 01:00:00
A Kumbucas Grill,RESTAURANT,Comida Brasileira,6.6,4.5,85,false,false,false,false,45, 29.073.745/0001-62,VOLTA REDONDA,33380920,27286440,Sao Luis,Avenida Francisco Chrisostomos Torres,540,-22.475221,-44.065853,10:30:00 - 14:00:00,10:30:00 - 14:00:00,10:30:00 - 14:00:00,10:30:00 - 14:00:00,10:30:00 - 14:00:00,10:45:00 - 14:00:00,10:45:00 - 14:30:00
Barão Express,RESTAURANT,Frangos,3.6,3.9,71,false,false,false,false,25, 25.234.096/0001-83,VOLTA REDONDA,32124007,27255130,Laranjal,Rua Cento E Oito,215,-22.518345,-44.096283,,18:00:00 - 22:45:00,10:45:00 - 15:00:00,10:45:00 - 15:00:00,10:45:00 - 15:00:00,10:45:00 - 15:00:00,
Lea Lanches,RESTAURANT,Lanches,0.17,4.5,97,false,false,false,false,8, 19.203.245/0001-44,VOLTA REDONDA,33363471,27275040,Retiro,Avenida Antônio De Almeida,1207,-22.50044,-44.123579,18:30:00 - 23:15:00,18:30:00 - 23:15:00,18:30:00 - 23:15:00,18:30:00 - 23:15:00,18:30:00 - 23:15:00,18:30:00 - 23:15:00,
Yumi Arte Oriental,RESTAURANT,Comida Japonesa,4.37,4.9,93,false,false,true,false,5, 30.130.416/0001-95,VOLTA REDONDA,30260089,27251240,Jardim Amalia 1,Rua Camilo De Assis Pereira,80,-22.510778,-44.084013,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00
Ponto Da Esfiha Retiro,RESTAURANT,Comida Árabe,1.95,4.4,176,false,false,false,false,0, 28.986.283/0001-01,VOLTA REDONDA,32122560,27281421,Retiro,Avenida Sávio Cota De Almeida Gama,1709,-22.497669,-44.105732,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00
Panela Com Sabor,RESTAURANT,Marmita,4.03,4.3,213,false,false,false,false,16, 37.102.734/0001-91,VOLTA REDONDA,998167119,27253110,São João,Rua Marcílio Dias,251,-22.518329,-44.091181,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00
Yatta Culinária Oriental!,RESTAURANT,Comida Japonesa,4.02,4.6,75,false,false,true,false,5, 34.716.227/0001-50,VOLTA REDONDA,998118885,27253110,São João,Rua Marcílio Dias,250,-22.5185,-44.091421,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,
M&m´s São Geraldo,RESTAURANT,Lanches,4.46,4.9,130,false,false,true,false,10, 26.834.890/0001-20,VOLTA REDONDA,998128756,27253670,Sao Geraldo,R Tuiuti,25,-22.51609,-44.085219,18:00:00 - 23:59:00,00:00:00 - 01:30:00,00:00:00 - 01:30:00,00:00:00 - 01:30:00,00:00:00 - 01:30:00,00:00:00 - 01:30:00,00:00:00 - 01:30:00
Arabad's Volta Redonda,RESTAURANT,Comida Árabe,4.47,4.8,111,false,false,false,false,20, 41.406.006/0001-40,VOLTA REDONDA,999431888,27253670,São Geraldo,Rua Tuiuti,39,-22.516096,-44.085093,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00
Spoleto - Aterrado,RESTAURANT,Comida Italiana,3.29,4.3,147,false,false,false,false,20, 13.647.401/0001-80,VOLTA REDONDA,33471020,27215120,Jardim Paraiba,R Quinhentos E Cinquenta E Oito,70,-22.507933,-44.09399,10:45:00 - 23:00:00,10:30:00 - 23:00:00,10:45:00 - 23:00:00,10:45:00 - 23:00:00,10:30:00 - 23:00:00,10:45:00 - 23:00:00,10:45:00 - 23:00:00
Mizu Sushi Lounge,RESTAURANT,Comida Japonesa,2.53,4.4,205,false,false,false,false,0, 34.275.187/0001-58,VOLTA REDONDA,981057267,27240760,Conforto,Rua 2,13,-22.517648,-44.110004,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00
Pasqualine Express,RESTAURANT,Pizza,3.28,4.6,52,false,false,true,false,20, 29.138.979/0001-40,Volta Redonda,32124034,27215590,Aterrado,Rua Pedro Maria Neto,89,-22.504519,-44.093209,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:45:00 - 23:00:00
Brasador,RESTAURANT,Carnes,2.95,4.6,45,false,false,true,false,0, 15.211.557/0001-49,VOLTA REDONDA,33481592,27261610,Vila Santa Cecília,Rua Vinte E Um,56,-22.52078,-44.107781,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:15:00 - 15:30:00
Tony Montana,RESTAURANT,Pizza,3.02,4.8,44,false,false,true,false,0, 27.480.661/0001-18,VOLTA REDONDA,992735151,27262330,Bela Vista,Rua Vinte E Um-c,24,-22.521547,-44.107621,17:30:00 - 22:30:00,11:30:00 - 22:30:00,11:30:00 - 22:30:00,11:30:00 - 22:30:00,11:30:00 - 22:30:00,11:30:00 - 22:30:00,11:30:00 - 22:30:00
Delivero Pizza & Burguer - Vr,RESTAURANT,Pizza,2.72,4.3,90,false,false,false,false,29, 38.215.256/0001-99,VOLTA REDONDA,30274343,27262011,Conforto,Rua Nossa Senhora Da Conceição,95,-22.523203,-44.118718,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00
Brasa Dog,RESTAURANT,Hambúrguer,2.32,4.7,91,false,false,true,false,19, 42.501.946/0001-81,VOLTA REDONDA,998259676,27281160,Retiro,Rua Pitágoras,313,-22.493016,-44.103029,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,
Taz Burguer Lanches,RESTAURANT,Lanches,0.24,4.8,58,false,false,false,false,10, 18.293.082/0001-75,VOLTA REDONDA,974044037,27275570,Retiro,Av Jaragua,907,-22.500888,-44.123061,00:00:00 - 03:00:00,00:00:00 - 02:15:00,00:00:00 - 02:00:00,00:00:00 - 01:30:00,00:00:00 - 01:30:00,00:00:00 - 01:00:00,00:00:00 - 02:00:00
Hamburgueria Don Giovanni,RESTAURANT,Lanches,0.73,4.7,99,false,false,false,false,20, 35.509.407/0001-23,VOLTA REDONDA,974013488,27275040,Retiro,Avenida Antônio De Almeida,981,-22.500696,-44.117714,15:30:00 - 23:30:00,15:30:00 - 23:30:00,15:30:00 - 23:30:00,15:30:00 - 23:30:00,15:30:00 - 23:30:00,16:30:00 - 23:30:00,
Pizzaria Don Giovanni,RESTAURANT,Pizza,0.73,4.7,96,false,false,false,false,15, 34.321.991/0001-26,VOLTA REDONDA,974013488,27275040,Retiro,Avenida Antônio De Almeida,981,-22.500696,-44.117714,15:30:00 - 23:30:00,15:30:00 - 23:30:00,15:30:00 - 23:30:00,15:30:00 - 23:30:00,15:30:00 - 23:30:00,16:30:00 - 23:30:00,
Pacheco Restaurante E Pizzaria,RESTAURANT,Comida Brasileira,1.15,4.4,56,false,false,false,false,13, 02.833.232/0001-56,VOLTA REDONDA,33371280,27275120,Retiro,Rua Luvina Faria,144,-22.501201,-44.113623,10:30:00 - 14:00:00,10:30:00 - 14:00:00,10:30:00 - 14:00:00,10:30:00 - 14:00:00,10:30:00 - 14:00:00,10:30:00 - 14:00:00,10:30:00 - 14:00:00
Kami Sama Delivery,RESTAURANT,Comida Japonesa,2.66,4.8,62,false,false,true,false,19, 28.634.433/0001-18,VOLTA REDONDA,30257414,27263431,Conforto,Rua Nossa Senhora Da Conceição,264,-22.523161,-44.122309,18:00:00 - 23:30:00,18:00:00 - 23:30:00,,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00
S&g Lanchonete E Pizzaria,RESTAURANT,Lanches,1.5,4.8,42,false,false,true,false,12, 24.225.274/0001-47,VOLTA REDONDA,981214044,27274140,Belmonte,Avenida Florianópolis,34,-22.508625,-44.135065,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00
"Buonna - Pizzas, Massas E Panquecas",RESTAURANT,Pizza,4.56,4.8,47,false,false,true,false,17, 23.796.731/0001-90,Volta Redonda,33374240,27253660,São Geraldo,Rua Tenente Antonio João,173,-22.517799,-44.085037,14:45:00 - 23:45:00,14:45:00 - 23:45:00,14:45:00 - 23:45:00,14:45:00 - 23:45:00,14:45:00 - 23:45:00,18:15:00 - 23:45:00,
Zen Cozinha Oriental,RESTAURANT,Comida Japonesa,2.84,4.3,46,false,false,false,false,19, 38.227.497/0001-58,VOLTA REDONDA,30265061,27260130,Vila Santa Cecília,Rua Vinte E Três-b,37,-22.518477,-44.106307,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00
Esquina Grill,RESTAURANT,Comida Brasileira,1.28,4.2,97,false,false,false,false,20, 20.851.764/0001-06,VOLTA REDONDA,32120747,27275262,Retiro,Av Retiro,2497,-22.501298,-44.11235,,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,11:30:00 - 15:30:00
Churrascão Gaúcho Niterói,RESTAURANT,Carnes,3.43,4.5,53,false,false,true,false,20, 29.142.444/0001-43,VOLTA REDONDA,40032665,27283370,Niterói,Avenida Nossa Senhora Do Amparo,160,-22.498303,-44.09127,11:00:00 - 14:45:00,11:00:00 - 14:45:00,11:00:00 - 14:45:00,11:00:00 - 14:45:00,11:00:00 - 14:45:00,11:00:00 - 15:45:00,11:00:00 - 22:30:00
Churrasco Gaúho,RESTAURANT,Carnes,3.87,4,92,false,false,false,false,10, 27.240.188/0001-00,VOLTA REDONDA,999923235,27253310,São João,Rua Monteiro Lobato,49,-22.517549,-44.092558,08:00:00 - 15:30:00,08:00:00 - 15:00:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00
Chama Burguer,RESTAURANT,Lanches,2.58,4.3,43,false,false,false,false,30, 38.448.329/0001-92,VOLTA REDONDA,999954188,27281755,Retiro,Rua Darwin,240,-22.494977,-44.099908,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00
Morada Bar,RESTAURANT,Comida Brasileira,3.57,4.8,69,false,false,true,false,18, 23.200.271/0001-96,VOLTA REDONDA,32123278,27215561,Aterrado,Rua Jaime Pantaleão De Morais,122,-22.504263,-44.09028,,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00
Sabor Da Mamãe,RESTAURANT,Lanches,3.77,3.9,73,false,false,false,false,9, 27.240.188/0001-00,VOLTA REDONDA,999923235,27253250,São João,Rua Desembargador Toledo Piza,359,-22.516918,-44.093275,17:00:00 - 23:45:00,08:00:00 - 15:00:00,08:00:00 - 15:00:00,17:00:00 - 23:45:00,08:00:00 - 15:00:00,08:00:00 - 15:00:00,08:00:00 - 15:00:00
Pizza Pepper,RESTAURANT,Pizza,3.6,4.4,65,false,false,false,false,15, 33.725.957/0001-54,Volta Redonda,998681630,27283230,Niterói,Rua São Gabriel,96,-22.498864,-44.089635,,18:30:00 - 23:45:00,18:30:00 - 23:45:00,18:30:00 - 23:45:00,18:30:00 - 23:45:00,18:30:00 - 23:45:00,18:30:00 - 23:45:00
Adega Sabor Da Uva,RESTAURANT,Comida Brasileira,3.24,4.7,86,true,false,false,true,10, 31.857.212/0001-13,VOLTA REDONDA,40030053,27211130,Aterrado,R Cesar Salamont,15,-22.504348,-44.093556,17:00:00 - 23:45:00,17:30:00 - 23:45:00,17:30:00 - 23:45:00,17:30:00 - 23:45:00,18:00:00 - 23:45:00,17:15:00 - 23:45:00,18:45:00 - 23:45:00
Daniel's Burger,RESTAURANT,Lanches,3.22,5,74,true,false,false,true,20, 28.698.378/0001-20,VOLTA REDONDA,40030053,27215070,Jardim Paraiba,Av Lucas Evangelista De Oliveira Franco,740,-22.504463,-44.093792,18:00:00 - 22:45:00,18:00:00 - 22:45:00,18:00:00 - 22:45:00,18:00:00 - 22:45:00,18:00:00 - 22:45:00,18:00:00 - 22:45:00,
Relicário Bistro,RESTAURANT,Comida Brasileira,2.87,4.4,27,false,false,true,false,20, 21.095.293/0001-08,VOLTA REDONDA,30756998,27260070,Vila Santa Cecilia,Rua Vinte E Três B,57,-22.518885,-44.106395,11:00:00 - 23:00:00,11:00:00 - 23:00:00,11:00:00 - 23:00:00,11:00:00 - 23:00:00,11:00:00 - 23:00:00,11:00:00 - 23:00:00,11:00:00 - 16:00:00
Matos Restaurante,RESTAURANT,Comida Brasileira,3.01,4.8,49,false,false,false,false,25, 31.017.106/0001-21,VOLTA REDONDA,33483420,27260010,Santa Cecilia,Rua Alberto Pasqualine,58,-22.518836,-44.104319,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00
Planeta Ice,RESTAURANT,Açaí,5.86,4.5,35,false,false,true,false,10, 39.727.161/0001-17,VOLTA REDONDA,999537161,27210330,Santo Agostinho,Avenida Alfredo Moreira,378,-22.489906,-44.06858,,18:00:00 - 23:15:00,18:00:00 - 23:15:00,18:00:00 - 23:15:00,18:00:00 - 23:15:00,18:00:00 - 23:15:00,18:00:00 - 23:15:00
Açaizeira Açaí,RESTAURANT,Açaí,1.85,4.2,40,false,false,false,false,9, 23.370.792/0001-91,VOLTA REDONDA,40032665,27281470,Vila Mury,Avenida Pará,468,-22.498836,-44.106658,15:00:00 - 22:30:00,15:00:00 - 22:30:00,15:00:00 - 22:30:00,15:00:00 - 22:30:00,15:00:00 - 22:30:00,15:00:00 - 22:30:00,15:00:00 - 23:00:00
The Sauce Chicken,RESTAURANT,Lanches,3.49,4.9,75,false,false,true,false,25, 39.393.697/0001-43,VOLTA REDONDA,40032665,27213200,Aterrado,Avenida Dezessete De Julho,511,-22.503426,-44.090962,,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00,18:30:00 - 23:00:00
Cia Do Caldo Retiro,RESTAURANT,Sopas & Caldos,1.14,4.7,100,true,false,false,true,10, 25.269.710/0001-42,VOLTA REDONDA,40030053,27275120,Retiro,R Luvina Faria,71,-22.501186,-44.113665,16:45:00 - 22:30:00,15:00:00 - 22:30:00,15:00:00 - 22:30:00,15:00:00 - 22:30:00,15:00:00 - 22:30:00,16:00:00 - 22:30:00,16:00:00 - 22:30:00
Fukurö Sushi Delivery,RESTAURANT,Comida Japonesa,2.34,4.8,36,false,false,true,false,24, 32.977.047/0001-04,VOLTA REDONDA,30256725,27273305,Siderlândia,Rua Araruama,149,-22.517309,-44.136328,18:45:00 - 23:30:00,18:30:00 - 23:30:00,18:45:00 - 23:30:00,18:30:00 - 23:30:00,18:45:00 - 23:30:00,18:45:00 - 23:30:00,18:45:00 - 23:30:00
Bier Prosit,RESTAURANT,Comida Variada,3.75,4.8,36,false,false,true,false,8, 14.368.761/0001-05,VOLTA REDONDA,30750915,27213050,Aterrado,Rua Coroados,46,-22.507684,-44.089317,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,16:00:00 - 23:00:00,16:00:00 - 23:00:00,
Toca Do Pintado,RESTAURANT,Frutos do Mar,3.01,4.3,46,false,false,true,false,30, 21.043.249/0001-54,VOLTA REDONDA,32123442,27262305,Bela Vista,Rua Dezenove-a,278,-22.522629,-44.109695,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,18:00:00 - 23:00:00,11:00:00 - 15:00:00,10:30:00 - 15:00:00
Ducks Lanches,RESTAURANT,Lanches,2.59,4.9,30,false,false,false,false,20, 26.610.655/0001-75,VOLTA REDONDA,998637552,27265200,Conforto,Rua 2,307,-22.522607,-44.123289,,19:15:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:15:00 - 23:59:00,19:00:00 - 23:59:00
Sushi House Bm,RESTAURANT,Comida Japonesa,4.45,4.9,102,false,false,true,false,30, 35.328.435/0001-44,BARRA MANSA,999482494,27332070,Vila Elmira,Rua Helena Silva Andrade,108,-22.538101,-44.135527,17:45:00 - 22:45:00,17:45:00 - 22:45:00,17:45:00 - 22:45:00,17:45:00 - 22:45:00,17:45:00 - 22:45:00,17:45:00 - 22:45:00,
