Loja,Categoria,Sub Categoria,Distância,Nota,Contagem de Votos,Ifood Delivery,Novo,Super Restaurante,Rastreamento,Pedido Mínimo,CNPJ,Cidade,Telefone,CEP,Bairro,Rua,Número,Latitude,Longitude,Segunda-feira,Terça-feira,Quarta-feira,Quinta-feira,Sexta-feira,Sábado,Domingo
Pizzaria Ponto De Encontro.,RESTAURANT,Pizza,4.94,4.9,12,false,false,false,false,15,14020055000178,VOLTA REDONDA,999314888,28288110,Santa Cruz,Avenida Dos Ex Combatentes,290,-22.465468,-44.093257,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00
Sushi House Bm,RESTAURANT,Comida Japonesa,4.45,4.9,111,false,false,true,false,30,35328435000144,BARRA MANSA,999482494,27332070,Vila Elmira,Rua Helena Silva Andrade,108,-22.538101,-44.135527,17:45:00 - 22:45:00,17:45:00 - 22:45:00,17:45:00 - 22:45:00,17:45:00 - 22:45:00,17:45:00 - 22:45:00,17:45:00 - 22:45:00,
Na Boca Do Povo Hamburgueria,RESTAURANT,Lanches,4.5,4.9,13,false,false,false,false,10,41117372000180,VOLTA REDONDA,998246407,27211554,Santo Agostinho,Rua Dois-c,205,-22.485963,-44.083226,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00,18:00:00 - 23:59:00,19:00:00 - 23:59:00,18:15:00 - 23:59:00
El Guapo Burrito Shop,RESTAURANT,Lanches,7.45,4.9,24,false,false,true,false,15,40246705000108,VOLTA REDONDA,998457887,27258260,Jardim Belvedere,Av. Gercio Bernardo Nunes,99,-22.53568,-44.063703,,19:00:00 - 23:00:00,19:00:00 - 23:00:00,19:00:00 - 23:00:00,19:00:00 - 23:00:00,19:00:00 - 23:00:00,
Burguer's House,RESTAURANT,Lanches,5.03,4.9,13,false,false,false,false,15,41050676000177,VOLTA REDONDA,998123168,27210220,Santo Agostinho,Rua Mil E Trinta E Quatro,11,-22.48826,-44.077208,18:00:00 - 23:15:00,,,18:00:00 - 23:15:00,18:00:00 - 23:15:00,18:00:00 - 23:15:00,18:00:00 - 23:15:00
Point Dos Amigos,RESTAURANT,Lanches,1.28,4.9,11,false,false,false,false,15,15128362000130,VOLTA REDONDA,999296407,27274180,Belmonte,Avenida Itaqui,459,-22.50516,-44.135248,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00,18:00:00 - 23:00:00
Mm Lanches,RESTAURANT,Lanches,1.02,4.9,44,false,false,false,false,10,24401563000150,VOLTA REDONDA,998528677,27278190,Belo Horizonte,Rua Central,112,-22.490245,-44.122483,18:00:00 - 23:45:00,18:00:00 - 23:45:00,18:00:00 - 23:45:00,18:00:00 - 23:45:00,18:00:00 - 23:45:00,18:00:00 - 23:45:00,
Bendito Doce,RESTAURANT,Doces & Bolos,4.72,4.9,23,true,false,false,true,20,27960308000135,VOLTA REDONDA,998220220,27283123,Aero Clube,Rua Três,31,-22.504047,-44.078995,09:30:00 - 23:30:00,11:00:00 - 23:30:00,11:00:00 - 23:30:00,11:00:00 - 23:45:00,11:00:00 - 23:30:00,09:45:00 - 23:59:00,09:00:00 - 23:59:00
Buonna Massas Artesanais,RESTAURANT,Comida Italiana,4.56,4.9,33,false,false,true,false,19,23796731000190,VOLTA REDONDA,998505220,27253660,São Geraldo,Rua Tenente Antônio João,173,-22.517799,-44.085037,14:45:00 - 23:45:00,14:45:00 - 23:45:00,14:45:00 - 23:45:00,14:45:00 - 23:45:00,14:45:00 - 23:45:00,18:15:00 - 23:45:00,
Bagnoffee,RESTAURANT,Doces & Bolos,2.84,4.9,66,true,false,false,true,20,36633502000105,VOLTA REDONDA,992492138,27260280,Vila Santa Cecília,Rua Vinte E Um,44,-22.519777,-44.108097,10:00:00 - 23:59:00,10:00:00 - 23:59:00,10:00:00 - 23:59:00,10:00:00 - 23:59:00,10:00:00 - 23:59:00,10:00:00 - 23:59:00,12:15:00 - 23:59:00
Padaria Conforto,RESTAURANT,Padaria,2.58,4.9,11,true,false,false,true,20,33195924000140,VOLTA REDONDA,992267772,27263432,Conforto,Rua Nossa Senhora Da Conceição,196,-22.52193,-44.11881,06:00:00 - 19:30:00,06:00:00 - 19:30:00,06:00:00 - 19:30:00,06:00:00 - 19:30:00,06:00:00 - 19:30:00,06:00:00 - 19:30:00,06:00:00 - 12:00:00
M&m´s São Geraldo,RESTAURANT,Lanches,4.46,4.9,125,false,false,true,false,10,26834890000120,VOLTA REDONDA,998128756,27253670,Sao Geraldo,R Tuiuti,25,-22.51609,-44.085219,18:00:00 - 23:59:00,00:00:00 - 01:30:00,00:00:00 - 01:30:00,00:00:00 - 01:30:00,00:00:00 - 01:30:00,00:00:00 - 01:30:00,00:00:00 - 01:30:00
Lessa's Tapioca Gourmet,RESTAURANT,Lanches,1.99,4.9,135,false,false,false,false,16,33280855000172,VOLTA REDONDA,999529552,27281060,Vila Mury,Av Amazonas,480,-22.498584,-44.10522,16:00:00 - 23:00:00,16:00:00 - 23:00:00,16:00:00 - 23:00:00,16:00:00 - 23:00:00,16:00:00 - 23:00:00,17:00:00 - 23:00:00,
La Burguesia Hamburgueria Vr,RESTAURANT,Lanches,1.83,4.9,71,false,false,true,false,16,31361622000179,VOLTA REDONDA,999994221,27281422,Retiro,Avenida Sávio Cota De Almeida Gama,1854,-22.498334,-44.106881,18:30:00 - 23:00:00,,18:45:00 - 23:00:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00
Buzz Burgers,RESTAURANT,Lanches,4.54,4.9,258,false,false,false,false,15,23608297000259,VOLTA REDONDA,30264879,27253660,São Geraldo,Rua Tenente Antônio João,193,-22.517839,-44.085248,18:00:00 - 23:30:00,,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00
Escondidinho,RESTAURANT,Lanches,5.41,4.9,27,false,false,false,false,10,37445662000185,VOLTA REDONDA,998783931,27250310,ÁGua Limpa,Rua Antúrios,73,-22.507388,-44.072698,19:00:00 - 23:00:00,19:00:00 - 22:45:00,19:00:00 - 23:00:00,19:00:00 - 23:00:00,19:00:00 - 23:00:00,19:00:00 - 23:00:00,
Jkf Lanches E Pizzas,RESTAURANT,Pizza,2.12,4.9,48,false,false,true,false,10,16754994000171,VOLTA REDONDA,33412428,27273340,Siderlandia,Rua 05,133,-22.51657,-44.133424,,18:45:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:59:00,18:15:00 - 23:59:00,18:15:00 - 23:59:00,18:15:00 - 23:45:00
Fórmula Agora É Vithe Pizza & Co.,RESTAURANT,Pizza,4.54,4.9,26,false,false,true,false,25,30486174000177,VOLTA REDONDA,08006033113,27251410,Jardim Amalia,Rua Senador Pinheiro Machado,38,-22.509936,-44.081946,18:00:00 - 23:00:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00,18:00:00 - 23:30:00
Imperial  Açai,RESTAURANT,Açaí,6.14,4.9,8,true,false,false,true,10,27978522000119,BARRA MANSA,988090956,27323450,Ano Bom,Rua Orlando Brandão,420,-22.540649,-44.164243,15:00:00 - 21:00:00,15:00:00 - 21:00:00,15:00:00 - 21:00:00,15:00:00 - 21:00:00,15:00:00 - 21:00:00,15:00:00 - 21:00:00,15:00:00 - 21:00:00
Restaurante Ohana,RESTAURANT,Comida Brasileira,0.92,4.9,17,false,false,false,false,12,41869197000187,VOLTA REDONDA,33370106,27275405,Jardim Cidade Do Aço,Rua Frei Caneca,164,-22.506098,-44.119465,10:00:00 - 14:00:00,10:00:00 - 14:00:00,10:00:00 - 14:00:00,10:00:00 - 14:00:00,10:00:00 - 14:00:00,10:00:00 - 14:00:00,
Lanche Da Praça,RESTAURANT,Lanches,2.65,4.9,51,false,false,false,false,12,38482698000100,VOLTA REDONDA,981612066,27273240,Padre Josino,Rua A,842,-22.515068,-44.143959,17:45:00 - 23:30:00,17:45:00 - 23:30:00,17:45:00 - 23:30:00,17:45:00 - 23:30:00,17:45:00 - 23:30:00,17:45:00 - 23:30:00,17:45:00 - 23:30:00
Kaduka Salgados,RESTAURANT,Salgados,4.83,4.9,16,false,false,false,false,12,42620621000118,VOLTA REDONDA,998500640,27211025,Morro Da Conquista,Rua Cabo Clodoaldo Ursulano,51,-22.488804,-44.078988,15:15:00 - 23:00:00,15:00:00 - 23:00:00,15:00:00 - 23:00:00,15:00:00 - 23:00:00,15:00:00 - 23:00:00,15:00:00 - 23:00:00,15:00:00 - 23:00:00
Guedes Burger,RESTAURANT,Lanches,3.87,4.9,246,false,false,true,false,13,35910980000144,VOLTA REDONDA,992206932,27215430,Aterrado,Rua Desembargador Cesar Salamonde,393,-22.506338,-44.087748,00:00:00 - 02:30:00,00:00:00 - 02:30:00,,19:00:00 - 23:59:00,00:00:00 - 02:30:00,00:00:00 - 02:30:00,00:00:00 - 02:30:00
Hot Dog E Lanches Da Familia,RESTAURANT,Lanches,3.45,4.9,47,true,false,false,true,20,39709022000160,VOLTA REDONDA,981309225,27273455,Siderlândia,Rua Barão De Mauá,722,-22.5273,-44.139166,19:00:00 - 23:00:00,19:00:00 - 23:00:00,19:00:00 - 23:00:00,19:00:00 - 23:00:00,18:45:00 - 23:00:00,,19:00:00 - 23:00:00
Vapt-vupt Pizzas,RESTAURANT,Pizza,3.56,4.9,67,false,false,false,false,35,41718702000192,VOLTA REDONDA,992353113,27215562,Aterrado,Rua Segundo-sargento Jaime Pantaleão De Morais,122,-22.504336,-44.090424,,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00,18:30:00 - 23:30:00
Burguer House,RESTAURANT,Lanches,7.08,4.9,14,false,false,false,false,23,20004308000112,VOLTA REDONDA,33475078,27286295,Dom Bosco,Sebastião Lucas Dos Santos,38,-22.471826,-44.062468,19:00:00 - 23:30:00,19:00:00 - 23:30:00,19:00:00 - 23:30:00,19:00:00 - 23:30:00,19:00:00 - 23:30:00,19:00:00 - 23:30:00,
Dino's Hambúrgueria,RESTAURANT,Lanches,1.92,4.9,233,false,false,false,false,0,35949145000118,VOLTA REDONDA,993155181,27281510,Vila Mury,Av Presbiteriana,649,-22.49841,-44.105904,17:00:00 - 23:00:00,17:15:00 - 23:00:00,17:00:00 - 23:00:00,17:00:00 - 23:00:00,17:00:00 - 23:00:00,17:30:00 - 23:00:00,17:00:00 - 23:00:00
Gordo Lanches,RESTAURANT,Lanches,3.04,4.9,21,false,false,false,false,15,45070064000105,VOLTA REDONDA,30270439,27265280,São Lucas,Rua Fernando Tedesco,122,-22.526645,-44.126039,00:00:00 - 02:00:00,00:00:00 - 02:00:00,18:00:00 - 23:59:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,18:00:00 - 23:59:00
Feijuca Do Guga (Feijoada),RESTAURANT,Comida Brasileira,5.53,4.9,38,false,false,true,false,35,42093857000143,VOLTA REDONDA,999536627,27251212,Jardim Amália,Rua Primo Granato,347,-22.509726,-44.072063,,,,,,10:00:00 - 15:00:00,10:00:00 - 15:00:00
Urbana Pizzaria Quadrada Volta Redonda,RESTAURANT,Pizza,3.54,4.9,43,false,false,false,false,30,42287773000140,VOLTA REDONDA,30263152,27213260,Aterrado,Avenida Oscar De Almeida Gama,200,-22.506317,-44.090992,,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00
Esfiharia Volta Grande,RESTAURANT,Comida Árabe,4.99,4.9,27,false,false,false,false,19,42636163000105,VOLTA REDONDA,999812615,27211425,Volta Grande,Rua Mil E Vinte E Nove,45,-22.48334,-44.079187,18:00:00 - 22:45:00,,,,,17:45:00 - 23:30:00,18:00:00 - 23:30:00
To Na Fome,RESTAURANT,Lanches,4.82,4.9,14,false,false,false,false,10,38362718000109,VOLTA REDONDA,999394696,27211150,Santo Agostinho,Rua Sargento Paulo Moreira,108,-22.487071,-44.079586,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00,19:00:00 - 23:59:00,
